,value,metric,type
0,0.015849070808936282,fde,best_of
1,0.05167248212647469,fde,best_of
2,0.03226045830142158,fde,best_of
3,0.01327283803361892,fde,best_of
4,0.02643871036326707,fde,best_of
5,0.0462678484614327,fde,best_of
6,0.026279371805973107,fde,best_of
7,0.045616208555489014,fde,best_of
8,0.08127211483328764,fde,best_of
9,0.04957923926801804,fde,best_of
10,0.013467751004484526,fde,best_of
11,0.16551854697044596,fde,best_of
12,0.05973131122211796,fde,best_of
13,0.05363044269689895,fde,best_of
14,0.07132585568850652,fde,best_of
15,0.005064394308409587,fde,best_of
16,0.0310579263637242,fde,best_of
17,0.057426870687835634,fde,best_of
18,0.013692221520404778,fde,best_of
19,0.020445850886756513,fde,best_of
20,0.051634918935664374,fde,best_of
21,1.272905674131888,fde,best_of
22,0.7915401949896766,fde,best_of
23,0.29966908080961496,fde,best_of
24,1.0039248086068866,fde,best_of
25,1.2167148686961098,fde,best_of
26,1.9973745554954125,fde,best_of
27,0.3692557200336555,fde,best_of
28,1.9845813803383783,fde,best_of
29,0.0865362474674534,fde,best_of
30,0.08421255902745454,fde,best_of
31,1.5695278805359896,fde,best_of
32,1.1284497430554628,fde,best_of
33,1.2836469015218408,fde,best_of
34,2.306419939695056,fde,best_of
35,0.7338031369096385,fde,best_of
36,0.9438142615715117,fde,best_of
37,2.3899185654600212,fde,best_of
38,1.2396866512963745,fde,best_of
39,0.25214058106704934,fde,best_of
40,0.4216903646905102,fde,best_of
41,0.4124407987711024,fde,best_of
42,0.2567768216146078,fde,best_of
43,0.21117665553022047,fde,best_of
44,0.6150346608279891,fde,best_of
45,0.30748937730903764,fde,best_of
46,0.32904817909975376,fde,best_of
47,0.6896245196628017,fde,best_of
48,0.138772356050966,fde,best_of
49,0.10991873633087698,fde,best_of
50,0.06646112934563422,fde,best_of
51,0.00980862791637892,fde,best_of
52,0.13449404289586048,fde,best_of
53,0.0218779895750577,fde,best_of
54,0.004439609096083911,fde,best_of
55,0.014729323958891035,fde,best_of
56,0.019766858970209786,fde,best_of
57,0.019826861310498337,fde,best_of
58,0.05318813019635607,fde,best_of
59,0.03536247052359115,fde,best_of
60,0.09148266485607216,fde,best_of
61,0.01359892756637619,fde,best_of
